word,count,sent
late,68,neg
flightled,65,neg
last,42,neg
other,32,neg
good,32,neg
next,32,neg
cancelled,29,neg
extra,26,neg
flighted,25,neg
sure,25,neg
rude,24,neg
same,24,neg
poor,24,neg
first,23,neg
busy,22,neg
able,20,neg
american,20,neg
available,20,neg
terrible,20,neg
ridiculous,18,neg
next,12,neut
american,9,neut
same,7,neut
sure,7,neut
able,7,neut
other,6,neut
late,6,neut
first,6,neut
great,5,neut
good,5,neut
possible,5,neut
many,5,neut
free,4,neut
flightled,4,neut
second,3,neut
right,3,neut
true,3,neut
different,3,neut
international,3,neut
....,3,neut
great,30,pos
good,23,pos
awesome,14,pos
nice,8,pos
warm,7,pos
american,7,pos
quick,5,pos
same,5,pos
excellent,5,pos
safe,5,pos
possible,4,pos
able,4,pos
happy,4,pos
next,4,pos
much,4,pos
last,4,pos
fantastic,4,pos
helpful,4,pos
first,3,pos
long,3,pos
