word,count,sent
great,64,pos
good,22,pos
awesome,21,pos
free,12,pos
quick,11,pos
much,11,pos
nice,9,pos
other,7,pos
amazing,7,pos
next,7,pos
first,6,pos
happy,6,pos
social,6,pos
able,5,pos
last,5,pos
favorite,5,pos
wonderful,5,pos
sure,4,pos
blue,4,pos
flyfi,4,pos
next,13,neut
good,12,neut
last,10,neut
american,10,neut
journal,10,neut
republican,8,neut
flyingitforward,8,neut
nice,8,neut
free,8,neut
right,8,neut
sure,6,neut
other,6,neut
possible,6,neut
direct,6,neut
daily,6,neut
great,5,neut
trueblue,5,neut
first,5,neut
warm,5,neut
digital,5,neut
late,30,neg
last,20,neg
good,19,neg
first,16,neg
next,13,neg
extra,11,neg
other,10,neg
same,9,neg
free,8,neg
ridiculous,8,neg
wrong,8,neg
different,7,neg
much,7,neg
full,7,neg
helpful,7,neg
mechanical,7,neg
great,7,neg
poor,7,neg
rude,7,neg
direct,6,neg
