word,count,sent
great,39,pos
good,28,pos
first,13,pos
awesome,11,pos
helpful,11,pos
nice,11,pos
amazing,11,pos
wonderful,9,pos
able,9,pos
last,9,pos
much,9,pos
next,8,pos
sure,8,pos
happy,6,pos
many,6,pos
other,5,pos
huge,5,pos
excellent,5,pos
super,5,pos
quick,4,pos
first,17,neut
last,15,neut
long,11,neut
good,11,neut
next,11,neut
international,10,neut
same,10,neut
available,9,neut
open,8,neut
avgeek,8,neut
sure,7,neut
other,7,neut
late,7,neut
possible,7,neut
much,6,neut
domestic,5,neut
military,5,neut
able,4,neut
original,4,neut
early,4,neut
late,113,neg
last,80,neg
other,46,neg
same,42,neg
first,41,neg
good,39,neg
terrible,39,neg
next,38,neg
flightled,34,neg
sure,34,neg
disappointed,31,neg
full,28,neg
long,26,neg
great,26,neg
mechanical,25,neg
different,24,neg
unitedairlines,24,neg
poor,24,neg
delayed,24,neg
ridiculous,24,neg
