word,count,sent
late,102,neg
last,63,neg
flightled,47,neg
unacceptable,39,neg
good,34,neg
first,32,neg
horrible,32,neg
other,32,neg
cancelled,27,neg
next,24,neg
usairwaysfail,24,neg
same,24,neg
great,23,neg
ridiculous,22,neg
sure,21,neg
real,20,neg
wrong,20,neg
terrible,20,neg
awful,20,neg
rude,20,neg
good,9,neut
last,6,neut
same,6,neut
nice,5,neut
free,5,neut
first,5,neut
possible,4,neut
full,4,neut
long,4,neut
able,4,neut
advisory,3,neut
other,3,neut
middle,3,neut
usair,3,neut
open,3,neut
such,2,neut
horrible,2,neut
significant,2,neut
correct,2,neut
second,2,neut
great,31,pos
good,9,pos
helpful,9,pos
awesome,6,pos
easy,5,pos
many,5,pos
wonderful,5,pos
much,5,pos
amazing,4,pos
next,4,pos
professional,4,pos
gate,3,pos
sure,3,pos
fine,3,pos
super,3,pos
able,3,pos
absolute,3,pos
pleasant,3,pos
excellent,3,pos
happy,3,pos
