word,count,sent
late,76,neg
flightled,71,neg
good,60,neg
last,49,neg
next,48,neg
great,47,neg
other,41,neg
same,36,neg
american,36,neg
sure,34,neg
first,32,neg
able,31,neg
cancelled,30,neg
extra,27,neg
flighted,26,neg
nice,25,neg
poor,25,neg
rude,24,neg
busy,23,neg
available,22,neg
second,4,neut
first,4,neut
mobile,4,neut
nice,3,neut
next,3,neut
atlantic,3,neut
middleeast,3,neut
only,3,neut
last,2,neut
february,2,neut
great,2,neut
one-way,2,neut
cool,2,neut
farecompare,2,neut
dallas-austin,2,neut
direct,2,neut
lie-flat,2,neut
virgin,2,neut
main,2,neut
﻿text,1,neut
great,15,pos
awesome,6,pos
cool,6,pos
good,5,pos
first,5,pos
free,4,pos
only,3,pos
happy,3,pos
next,3,pos
such,2,pos
excited,2,pos
cross,2,pos
one-way,2,pos
farecompare,2,pos
last,2,pos
welcome,2,pos
sweet,2,pos
entire,2,pos
little,2,pos
inflight,2,pos
