word, count 
great, 19
first, 15
next, 14
awesome, 9
cool, 9
good, 8
other, 8
only, 7
last, 7
free, 7
mobile, 6
direct, 6
little, 5
second, 5
late, 5
same, 5
disappointed, 5
excited, 4
elevate, 4
nice, 4
cancelled, 4
website, 4
one-way, 4
farecompare, 4
atlantic, 4
such, 3
able, 3
middle, 3
different, 3
delayed, 3
flightled, 3
welcome, 3
happy, 3
central, 3
upgrade, 3
virginatlantic, 3
middleeast, 3
cross, 2
available, 2
online, 2
current, 2
moodlitmonday, 2
oscars2015, 2
february, 2
lady, 2
fine, 2
neverflyvirginforbusiness, 2
interesting, 2
much, 2
extra, 2
