airline_sentiment,negativereason,airline,name
neutral,,Virgin America,cairdin
positive,,Virgin America,jnardino
neutral,,Virgin America,yvonnalynn
negative,Bad Flight,Virgin America,jnardino
negative,Can't Tell,Virgin America,jnardino
negative,Can't Tell,Virgin America,jnardino
positive,,Virgin America,cjmcginnis
neutral,,Virgin America,pilot
positive,,Virgin America,dhepburn
positive,,Virgin America,YupitsTate
neutral,,Virgin America,idk_but_youtube
positive,,Virgin America,HyperCamiLax
positive,,Virgin America,HyperCamiLax
positive,,Virgin America,mollanderson
positive,,Virgin America,sjespers
negative,Late Flight,Virgin America,smartwatermelon
positive,,Virgin America,ItzBrianHunty
negative,Bad Flight,Virgin America,heatherovieda
positive,,Virgin America,thebrandiray
positive,,Virgin America,JNLpierce
negative,Can't Tell,Virgin America,MISSGJ
positive,,Virgin America,DT_Les
positive,,Virgin America,ElvinaBeck
neutral,,Virgin America,rjlynch21086
negative,Customer Service Issue,Virgin America,ayeevickiee
negative,Customer Service Issue,Virgin America,Leora13
negative,Can't Tell,Virgin America,meredithjlynn
neutral,,Virgin America,AdamSinger
negative,Bad Flight,Virgin America,blackjackpro911
neutral,,Virgin America,TenantsUpstairs
negative,Flight Booking Problems,Virgin America,jordanpichler
neutral,,Virgin America,JCervantezzz
negative,Customer Service Issue,Virgin America,Cuschoolie1
negative,Customer Service Issue,Virgin America,amanduhmccarty
positive,,Virgin America,NorthTxHomeTeam
neutral,,Virgin America,miaerolinea
positive,,Virgin America,Nicsplace
positive,,Virgin America,Nicsplace
neutral,,Virgin America,elisha_malulani
negative,Customer Service Issue,Virgin America,DannyDouglass
positive,,Virgin America,jamesferrandini
negative,Flight Booking Problems,Virgin America,will_lenzenjr
neutral,,Virgin America,GottAmanda
neutral,,Virgin America,KGervaise
neutral,,Virgin America,papamurat
positive,,Virgin America,arieldaie
neutral,,Virgin America,vacations7
positive,,Virgin America,ChelseaPoe666
neutral,,Virgin America,BobGlavinVO
neutral,,Virgin America,lisaaiko
neutral,,Virgin America,grantbrowne
positive,,Virgin America,joyabsalon
neutral,,Virgin America,2v
neutral,,Virgin America,KSmithFoundHere
neutral,,Virgin America,papamurat
negative,Flight Booking Problems,Virgin America,murphicus
positive,,Virgin America,VinnieFerra
positive,,Virgin America,KevinDemsi
neutral,,Virgin America,giffgaffman
neutral,,Virgin America,HanlonBrothers
neutral,,Virgin America,emilybg78
negative,Customer Service Issue,Virgin America,rachie1126
neutral,,Virgin America,adawson66
neutral,,Virgin America,SocialPLC
positive,,Virgin America,jeffreymace01
neutral,,Virgin America,1stcrown
negative,Customer Service Issue,Virgin America,onerockgypsy
negative,Late Flight,Virgin America,noelduan
positive,,Virgin America,Travelzoo
negative,Lost Luggage,Virgin America,gianagon
neutral,,Virgin America,bxchen
neutral,,Virgin America,seimatrun
neutral,,Virgin America,jamied7
negative,Flight Attendant Complaints,Virgin America,seimatrun
positive,,Virgin America,mrmichaellay
positive,,Virgin America,TaylorLumsden
neutral,,Virgin America,campusmoviefest
neutral,,Virgin America,TaylorLumsden
negative,Customer Service Issue,Virgin America,meme_meng
neutral,,Virgin America,kyle_romanoff
negative,Customer Service Issue,Virgin America,GunsNDip
positive,,Virgin America,artisticwritr87
negative,Late Flight,Virgin America,arieldaie
